Timestamp,SourceExecutionId,ClusteringId,K,Kappa,DistanceMetric,SilhouetteIndex
Sun Nov 28 17:44:44 MST 2021,cfab4fce-9648-4747-92a3-c61e77eaad35,99af5f43-d90e-4d64-87af-2837bb9ab72a,9,5,net.sf.javaml.distance.CosineDistance,0.304035060009943
Mon Nov 29 12:37:21 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,1cfd2c34-e4b9-4c36-b9dd-003d1ef755ae,6,10,net.sf.javaml.distance.CosineDistance,0.303448139814466
Tue Nov 30 08:27:56 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,a528ec12-0b29-4e92-9396-098626d3afbe,17,5,net.sf.javaml.distance.CosineDistance,0.301587195591719
Mon Nov 29 11:17:01 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,8ec78ce1-de1a-4811-889e-467a52745de7,10,5,net.sf.javaml.distance.CosineDistance,0.300113582619316
Mon Nov 29 10:39:24 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,99bc48d5-7ee5-4ffa-9a18-78345ad1f162,3,1,net.sf.javaml.distance.CosineDistance,0.298851298975642
Mon Nov 29 10:56:46 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,594e77cd-f759-40ab-9a7a-14170e013a17,17,5,net.sf.javaml.distance.CosineDistance,0.296883503486109
Sun Nov 28 18:52:03 MST 2021,cfab4fce-9648-4747-92a3-c61e77eaad35,b1d8f273-16d5-4439-8ef1-bef048d793a2,15,10,net.sf.javaml.distance.CosineDistance,0.294895896908569
Mon Nov 29 11:02:19 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,7ae7e3c9-d47e-43b3-a1d6-81554cb756bb,15,5,net.sf.javaml.distance.CosineDistance,0.293965183812779
Mon Nov 29 11:20:53 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,808cd666-da69-4339-b89e-1e51d9edf395,9,5,net.sf.javaml.distance.CosineDistance,0.293776759430536
Mon Nov 29 09:57:22 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,7e38df9c-66d0-436c-921c-95b62d43f6f2,16,1,net.sf.javaml.distance.CosineDistance,0.293327432439081
Mon Nov 29 12:41:30 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,e84718db-0bc0-479a-9b5b-ae5069cd05ef,5,10,net.sf.javaml.distance.CosineDistance,0.292781449105413
Sun Nov 28 14:38:04 MST 2021,cfab4fce-9648-4747-92a3-c61e77eaad35,5bb73ac3-db74-4cf6-9df7-d13244881432,13,1,net.sf.javaml.distance.CosineDistance,0.291530317727295
Mon Nov 29 11:30:04 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,cf3eacf7-9103-433a-acfb-66340fe6845b,6,5,net.sf.javaml.distance.CosineDistance,0.290136416658959
Mon Nov 29 10:16:37 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,8b0affdb-843b-4558-8ce3-600aaed6618f,9,1,net.sf.javaml.distance.CosineDistance,0.290107169152433
Sun Nov 28 19:56:15 MST 2021,cfab4fce-9648-4747-92a3-c61e77eaad35,e86f8d4e-0d1d-42d1-89da-adf126c8630e,2,10,net.sf.javaml.distance.CosineDistance,0.290003190251012
Mon Nov 29 11:26:53 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,d215c975-6dc8-4dcb-9e8e-557f1fd56fe8,7,5,net.sf.javaml.distance.CosineDistance,0.289409957039288
Sun Nov 28 18:55:23 MST 2021,cfab4fce-9648-4747-92a3-c61e77eaad35,0c4f9f66-6227-4641-bb41-3e9e7ba0062d,14,10,net.sf.javaml.distance.CosineDistance,0.288278049234948
Mon Nov 29 09:52:00 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,8e77e192-1ef9-4910-a5a7-195b678d18d6,18,1,net.sf.javaml.distance.CosineDistance,0.288268258331604
Tue Nov 30 08:28:17 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,d81d35f2-8208-4062-859c-d9fc9fcabd79,20,10,net.sf.javaml.distance.CosineDistance,0.286936674214294
Mon Nov 29 09:49:29 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,304e2bc5-7915-4306-8575-44f6341c5e99,19,1,net.sf.javaml.distance.CosineDistance,0.286521297528027
Mon Nov 29 11:23:50 MST 2021,1d2923ae-5ae2-40cc-88ef-a5d3d5c0ae31,c1785662-70e9-49d8-a144-007069c4720d,8,5,net.sf.javaml.distance.CosineDistance,0.286424830294664
Sun Nov 28 17:13:03 MST 2021,cfab4fce-9648-4747-92a3-c61e77eaad35,2fe6b05c-0a30-445c-8478-d5689d3ace52,17,5,net.sf.javaml.distance.CosineDistance,0.285923731972857
Sun Nov 28 20:09:45 MST 2021,cfab4fce-9648-4747-92a3-c61e77eaad35,01451b60-e1e0-4270-85af-a322074113fc,18,20,net.sf.javaml.distance.CosineDistance,0.285352986145219
Sun Nov 28 17:28:50 MST 2021,cfab4fce-9648-4747-92a3-c61e77eaad35,945acbf0-70e6-4235-9159-0d88242bb5a4,13,5,net.sf.javaml.distance.CosineDistance,0.285305253288826
Tue Nov 30 08:28:18 MST 2021,d9729ac3-e36b-490a-81cc-55bc7d84f0b1,3be1cabf-3f6e-4a67-b68e-f78590575502,19,10,net.sf.javaml.distance.CosineDistance,0.28428899302799
